spliced,unspliced,Entry,Length,spliced_peptides_per_thousand_residues
2.0,3.0,P56381,51,39.21568627450981
5.0,18.0,P68431,136,36.76470588235294
3.0,3.0,P61513,92,32.608695652173914
2.0,2.0,Q8WUW1,75,26.666666666666668
3.0,7.0,P0C0S5,128,23.4375
1.0,2.0,O14604,44,22.727272727272727
3.0,0.0,Q9NRR1,136,22.058823529411764
8.0,0.0,P60709,375,21.333333333333332
2.0,0.0,Q2M2W7,97,20.61855670103093
4.0,16.0,P26373,211,18.95734597156398
3.0,4.0,P47914,159,18.867924528301884
1.0,0.0,Q96IT6,56,17.857142857142858
1.0,16.0,P62273,56,17.857142857142858
1.0,0.0,Q96I36,57,17.543859649122805
4.0,8.0,P0CG47,229,17.46724890829694
3.0,0.0,O95881,172,17.441860465116278
1.0,4.0,Q96IX5,58,17.241379310344826
3.0,0.0,Q5T215,181,16.574585635359114
2.0,0.0,Q8TAI1,123,16.260162601626018
1.0,1.0,A6NGU7,62,16.129032258064516
1.0,3.0,Q9UDW1,63,15.873015873015872
3.0,4.0,P32970,193,15.544041450777202
3.0,11.0,P46781,194,15.463917525773196
1.0,0.0,A6NKN8,68,14.705882352941176
1.0,4.0,P63218,68,14.705882352941176
2.0,0.0,P84243,136,14.705882352941176
3.0,8.0,P61313,204,14.705882352941176
5.0,2.0,Q96PU8,341,14.66275659824047
1.0,0.0,P10176,69,14.492753623188406
3.0,0.0,P14649,208,14.423076923076923
1.0,7.0,P63173,70,14.285714285714285
2.0,2.0,Q06055,141,14.184397163120567
2.0,1.0,P53680,142,14.084507042253522
3.0,0.0,Q8N983,215,13.953488372093023
3.0,4.0,Q9Y296,219,13.698630136986301
1.0,1.0,P0DJ07,73,13.698630136986301
3.0,2.0,Q01130,221,13.574660633484163
1.0,0.0,Q9NRX6,74,13.513513513513514
3.0,5.0,Q9BTL4,223,13.45291479820628
2.0,3.0,Q5T1J5,151,13.245033112582782
2.0,4.0,P60660,151,13.245033112582782
1.0,0.0,Q969E1,77,12.987012987012989
3.0,1.0,O75474,233,12.875536480686696
4.0,0.0,P0C7T3,313,12.779552715654951
2.0,0.0,Q6PEY1,159,12.578616352201259
2.0,4.0,Q9Y4H4,160,12.5
1.0,0.0,Q9P1F3,81,12.345679012345679
1.0,0.0,Q96HG1,83,12.048192771084338
1.0,0.0,P60002,83,12.048192771084338
1.0,1.0,P62306,86,11.627906976744185
1.0,0.0,Q6UWT4,87,11.494252873563218
3.0,1.0,Q5UCC4,262,11.450381679389313
2.0,2.0,Q9BQ61,176,11.363636363636363
1.0,0.0,Q9UHP9,88,11.363636363636363
2.0,0.0,Q8WW12,178,11.235955056179774
3.0,2.0,P15559,274,10.948905109489052
1.0,0.0,Q96EX1,92,10.869565217391305
1.0,0.0,A8MTZ0,92,10.869565217391305
2.0,5.0,P18621,184,10.869565217391305
1.0,0.0,Q6UW78,93,10.752688172043012
1.0,0.0,P48061,93,10.752688172043012
5.0,24.0,P08670,466,10.729613733905579
2.0,3.0,Q9UM00,188,10.638297872340425
1.0,1.0,P56134,94,10.638297872340425
1.0,1.0,Q5BLP8,95,10.526315789473683
2.0,0.0,Q5HYR2,192,10.416666666666666
1.0,0.0,Q8TF09,96,10.416666666666666
2.0,0.0,Q15126,192,10.416666666666666
2.0,2.0,P15153,192,10.416666666666666
4.0,0.0,P54687,386,10.362694300518134
1.0,0.0,C9JLW8,97,10.309278350515465
3.0,5.0,P15880,293,10.238907849829351
1.0,0.0,P04080,98,10.204081632653061
1.0,0.0,Q99731,98,10.204081632653061
4.0,4.0,P04637,393,10.178117048346056
3.0,0.0,P08865,295,10.169491525423728
2.0,1.0,Q9P0T4,197,10.15228426395939
1.0,0.0,Q3Y452,100,10.0
1.0,0.0,Q5TBE3,101,9.900990099009901
1.0,0.0,Q86SG5,101,9.900990099009901
2.0,11.0,P40429,203,9.852216748768473
2.0,0.0,Q92737,203,9.852216748768473
2.0,1.0,Q96S19,204,9.803921568627452
2.0,0.0,Q9BYN8,205,9.75609756097561
2.0,0.0,Q14197,206,9.70873786407767
1.0,4.0,P62805,103,9.70873786407767
1.0,0.0,O75964,103,9.70873786407767
3.0,0.0,A6NFN3,312,9.615384615384617
2.0,1.0,Q9NQ31,210,9.523809523809526
1.0,8.0,Q9Y3U8,105,9.523809523809526
1.0,0.0,O60384,105,9.523809523809526
2.0,2.0,Q9BRJ7,211,9.47867298578199
2.0,6.0,B2RPK0,211,9.47867298578199
1.0,5.0,O43920,106,9.433962264150942
1.0,5.0,Q9BW72,106,9.433962264150942
5.0,11.0,P40227,531,9.416195856873822
